,,,,,,,,,,,,,,,,,,,,,
Model Type,Audio Type,Speaker Mode,VAD,Embedding,Overlap Mode,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std,
0,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,40.767857,35.5,15.605502,5.769286,4.815,3.307482,22.065,19.045,8.193277,12.932857,8.465,10.894119,65.000714,68.85,13.766737
1,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,43.327857,37.565,14.177512,4.878571,4.245,2.630361,27.032143,24.35,8.216749,11.417143,8.215,9.462116,61.550714,65.9,12.819867
2,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,42.722857,35.265,17.244402,5.769286,4.815,3.307482,22.065,19.045,8.193277,14.889286,11.865,11.520088,63.045,69.13,15.612026
3,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,44.972143,38.775,15.58294,4.878571,4.245,2.630361,27.032143,24.35,8.216749,13.061429,11.6,9.843559,59.906429,64.35,14.43511
4,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,32.743571,22.6,18.757224,9.812143,6.615,9.279986,11.17,7.98,8.282972,11.762857,7.655,8.889372,77.069286,83.185,14.655422
5,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,35.435,28.74,17.158799,8.192143,5.635,7.243088,16.869286,15.21,8.98929,10.373571,7.55,7.911007,72.757857,76.09,14.148855
6,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,37.412857,28.465,22.596863,9.812143,6.615,9.279986,11.17,7.98,8.282972,16.431429,11.605,13.13946,72.399286,78.08,15.875126
7,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,39.393571,30.38,19.901675,8.192143,5.635,7.243088,16.869286,15.21,8.98929,14.331429,10.055,11.099446,68.797143,74.755,14.927071
8,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,41.696429,25.15,29.079904,15.499286,10.06,14.189922,10.784286,7.625,9.380037,15.411429,8.75,14.905322,73.804286,83.95,18.12262
9,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,43.037143,31.15,25.228644,13.029286,9.07,11.325855,16.556429,13.855,9.670153,13.452857,8.315,12.650966,69.991429,77.88,16.995566
10,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,42.99,34.32,27.086063,15.499286,10.06,14.189922,10.784286,7.625,9.380037,16.703571,10.97,13.710926,72.509286,78.84,15.899287
11,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,overlap,44.040714,36.825,23.386113,13.029286,9.07,11.325855,16.556429,13.855,9.670153,14.455,10.78,11.410589,68.987857,73.36,15.133991
12,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,45.764286,43.91,13.249693,5.769286,4.815,3.307482,22.065,19.045,8.193277,17.93,18.615,8.317082,60.004286,65.06,13.331393
13,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,overlap,47.862143,47.04,12.305771,4.878571,4.245,2.630361,27.032143,24.35,8.216749,15.952143,16.555,7.750885,57.015714,61.075,12.532023
14,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,titanet_large,no_overlap,40.837857,36.315,13.301633,5.769286,4.815,3.307482,22.065,19.045,8.193277,13.004286,8.765,9.018497,64.929286,68.81,12.640962
15,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,titanet_large,overlap,43.419286,38.385,12.769926,4.878571,4.245,2.630361,27.032143,24.35,8.216749,11.507857,8.655,7.654844,61.459286,65.46,12.544278
16,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,39.839286,34.455,16.204461,9.812143,6.615,9.279986,11.17,7.98,8.282972,18.858571,19.835,10.621467,69.972857,74.695,13.41666
17,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,41.972857,37.95,15.164919,8.192143,5.635,7.243088,16.869286,15.21,8.98929,16.91,16.665,9.615432,66.219286,68.735,13.381618
18,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,36.183571,31.855,16.221804,9.812143,6.615,9.279986,11.17,7.98,8.282972,15.202143,13.13,8.373278,73.629286,76.935,13.511693
19,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,38.545714,35.215,15.170757,8.192143,5.635,7.243088,16.869286,15.21,8.98929,13.485,12.33,7.364794,69.647143,72.52,13.484604
20,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,43.17,41.695,19.394798,15.499286,10.06,14.189922,10.784286,7.625,9.380037,16.885714,16.2,10.474205,72.330714,76.015,14.312672
21,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,44.689286,42.38,17.084102,13.029286,9.07,11.325855,16.556429,13.855,9.670153,15.105714,14.075,9.40222,68.340714,69.295,13.708941
22,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,38.409286,32.19,20.286341,15.499286,10.06,14.189922,10.784286,7.625,9.380037,12.124286,9.97,8.623683,77.091429,82.7,13.242043
23,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,overlap,40.237143,34.975,18.040627,13.029286,9.07,11.325855,16.556429,13.855,9.670153,10.651429,9.21,7.302492,72.792143,76.95,13.194527
24,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,54.904286,47.29,21.957807,2.905714,2.385,1.918227,44.573571,37.39,22.733716,7.426429,5.32,5.618042,47.999286,54.96,22.681272
25,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,57.400714,48.23,20.282515,2.488571,2.215,1.581907,47.935,40.86,21.442627,6.976429,4.915,5.637676,45.086429,53.705,20.938666
26,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,53.055,42.605,21.755669,2.905714,2.385,1.918227,44.573571,37.39,22.733716,5.577143,4.36,2.904904,49.849286,59.45,22.515797
27,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,55.527857,45.44,20.24255,2.488571,2.215,1.581907,47.935,40.86,21.442627,5.105,3.995,2.693664,46.959286,56.39,20.980471
28,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,61.77,61.445,22.108147,0.598571,0.58,0.441324,55.799286,56.655,22.563821,5.374286,3.505,3.806094,38.827143,39.02,22.409023
29,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,64.083571,63.55,20.459568,0.510714,0.495,0.36827,58.567857,59.01,21.286253,5.002143,3.295,3.795508,36.428571,36.865,20.723377
30,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,60.049286,59.535,21.314289,0.598571,0.58,0.441324,55.799286,56.655,22.563821,3.652857,2.525,2.638847,40.548571,40.895,21.602351
31,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,62.401429,62.08,19.882501,0.510714,0.495,0.36827,58.567857,59.01,21.286253,3.32,2.32,2.600648,38.11,38.3,20.140605
32,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,56.86,55.24,26.165406,4.918571,3.205,4.713372,46.465,37.385,28.230944,5.479286,4.275,3.494595,48.057857,56.8,28.138437
33,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,59.515714,57.8,24.158598,4.327143,2.9,4.349123,50.098571,42.8,26.288168,5.087857,3.63,3.427125,44.812143,52.045,25.954313
34,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,57.680714,56.475,25.396665,4.918571,3.205,4.713372,46.465,37.385,28.230944,6.296429,5.235,4.378763,47.239286,53.63,27.082332
35,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,overlap,60.061429,59.22,23.650521,4.327143,2.9,4.349123,50.098571,42.8,26.288168,5.634286,4.775,3.934629,44.265714,49.28,25.182382
36,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,57.417857,49.6,20.491126,2.905714,2.385,1.918227,44.573571,37.39,22.733716,9.940714,7.895,6.684627,45.487143,54.18,20.868217
37,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,overlap,59.695,51.055,19.046219,2.488571,2.215,1.581907,47.935,40.86,21.442627,9.27,6.835,6.422023,42.794286,51.26,19.433775
38,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,titanet_large,no_overlap,55.826429,47.85,20.354254,2.905714,2.385,1.918227,44.573571,37.39,22.733716,8.346429,6.825,6.378954,47.079286,54.595,20.85226
39,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,titanet_large,overlap,58.045,50.395,19.098765,2.488571,2.215,1.581907,47.935,40.86,21.442627,7.623571,5.8,5.67362,44.440714,52.855,19.639636
40,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,66.005714,67.985,20.055937,0.598571,0.58,0.441324,55.799286,56.655,22.563821,9.609286,9.745,4.710705,34.592143,32.48,20.319031
41,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,67.883571,69.315,18.803241,0.510714,0.495,0.36827,58.567857,59.01,21.286253,8.803571,9.32,4.089427,32.627857,31.085,19.039194
42,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,64.690714,64.84,19.628219,0.598571,0.58,0.441324,55.799286,56.655,22.563821,8.294286,7.245,6.378305,35.907857,35.63,19.846556
43,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,66.611429,67.035,18.765054,0.510714,0.495,0.36827,58.567857,59.01,21.286253,7.532143,6.565,5.710718,33.9,33.38,18.968236
44,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,61.019286,58.135,22.186161,4.918571,3.205,4.713372,46.465,37.385,28.230944,9.635,6.96,8.575035,43.901429,51.545,24.391023
45,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,63.52,58.78,20.408674,4.327143,2.9,4.349123,50.098571,42.8,26.288168,9.095714,6.73,8.33486,40.805714,48.495,22.468475
46,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,58.575714,56.17,23.189276,4.918571,3.205,4.713372,46.465,37.385,28.230944,7.191429,5.94,4.861055,46.343571,54.805,24.935843
47,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,overlap,61.056429,59.485,21.679021,4.327143,2.9,4.349123,50.098571,42.8,26.288168,6.632857,5.235,4.474731,43.27,50.425,23.299272
48,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,52.684286,51.43,14.17867,14.791429,15.985,8.92792,22.065,19.045,8.193277,15.826429,12.565,10.76348,62.109286,66.38,12.787768
49,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,52.805,53.415,12.634042,12.468571,11.805,7.170153,25.792143,22.96,7.869183,14.543571,11.755,9.356661,59.663571,64.68,12.629903
50,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,60.265,57.325,20.454635,20.232857,17.915,13.575941,22.065,19.045,8.193277,17.967143,20.05,10.113559,59.967143,63.695,13.071582
51,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,58.977857,56.895,17.359854,17.050714,13.8,11.263109,25.309286,21.31,8.329682,16.617143,18.33,8.852173,58.072143,60.14,12.394572
52,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,50.570714,48.905,22.01172,23.927143,23.135,17.189333,11.17,7.98,8.282972,15.472857,14.2,8.538833,73.355714,75.66,13.785863
53,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,49.546429,48.74,17.918581,20,17.97,13.0516,15.132143,11.865,8.33268,14.413571,14.005,7.641026,70.456429,73.475,13.638883
54,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,73.846429,71.805,23.835139,40.362857,36.895,20.517032,11.17,7.98,8.282972,22.312143,24.25,7.122026,66.517857,67.145,10.906367
55,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,69.795,66.765,18.715966,34.312143,33,16.386625,14.115,10.685,8.011739,21.368571,23.725,6.439766,64.517857,64.655,11.374294
56,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,57.892143,47.505,31.509013,30.414286,22.235,21.737235,10.784286,7.625,9.380037,16.692143,11.49,12.726886,72.522857,78.94,16.869871
57,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,55.588571,48.485,26.446625,25.312143,19.44,16.852235,15.098571,12.795,9.048691,15.179286,11,10.854905,69.722143,76.63,16.151977
58,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,68.862857,62.24,35.663251,36.893571,32.685,28.221218,10.784286,7.625,9.380037,21.184286,22.88,10.680046,68.030714,67.365,13.954505
59,NeuralDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,overlap,65.267857,60.59,29.416277,31.190714,25.325,23.176826,14.302143,12.08,9.094522,19.774286,20.18,9.525561,65.922857,64.38,13.553602
60,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,59.553571,62.48,13.593077,19.305,17.825,10.231684,22.065,19.045,8.193277,18.182857,21.9,8.330292,59.752143,62.895,13.10174
61,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,overlap,59.052857,62.09,11.601242,16.79,16.895,8.771066,25.767143,23.17,8.703668,16.491429,18.795,7.311085,57.738571,60.71,12.492984
62,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,titanet_large,no_overlap,64.954286,64.14,16.277802,24.659286,26.225,12.421985,22.065,19.045,8.193277,18.229286,16.725,9.576032,59.706429,62.745,11.529918
63,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,titanet_large,overlap,63.874286,63.645,13.232483,21.577857,23.6,10.950803,25.511429,22.735,8.727214,16.787143,16.15,8.133276,57.702857,61.995,11.387726
64,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,56.310714,51.165,24.220321,29.015,21.815,20.836695,11.17,7.98,8.282972,16.125714,11.515,9.366659,72.702857,74.365,14.024692
65,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,55.131429,51.045,19.591372,25.019286,20.1,17.000296,15.367857,12.74,9.463627,14.746429,11.01,8.235794,69.888571,72.93,14.013768
66,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,70.334286,61.545,25.013154,39.177857,35.42,26.684672,11.17,7.98,8.282972,19.988571,20.22,6.947719,68.841429,71.69,10.290577
67,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,67.324286,60.745,19.414292,33.716429,33.74,21.659741,14.744286,11.21,9.560419,18.865,18.505,6.124172,66.392143,68.865,10.907822
68,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,65.424286,61.84,30.984119,37.827857,27.625,30.451818,10.784286,7.625,9.380037,16.81,15.41,9.098849,72.405,74.02,13.346464
69,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,62.847857,61.74,24.216088,32.384286,26.175,24.39867,14.941429,12.355,10.254396,15.521429,13.835,8.144781,69.541429,70.4,13.051164
70,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,72.711429,68.785,34.894459,44.384286,36.045,34.063569,10.784286,7.625,9.380037,17.542857,17.03,9.202154,71.674286,70.86,12.003324
71,NeuralDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,overlap,69.375,67.655,28.083346,38.250714,31.385,27.974826,14.639286,12.05,10.235643,16.484286,15.235,8.483547,68.877143,68.785,11.640419
72,NeuralDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,62.002143,58.62,19.443652,8.589286,6.685,7.143028,44.573571,37.39,22.733716,8.839286,8.095,4.076291,46.585,54.925,21.586001
73,NeuralDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,62.987857,59.38,18.483605,7.243571,5.415,5.810175,47.197143,39.47,21.658754,8.545714,7.865,4.201349,44.254286,53.305,20.328543
74,NeuralDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,67.234286,71.295,19.007447,11.552857,9.185,8.952062,44.573571,37.39,22.733716,11.109286,9.175,6.620023,44.315714,47.34,21.008429
75,NeuralDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,67.575714,71.88,17.91178,10.073571,7.63,7.682997,47.057143,39.115,21.82075,10.445714,9.04,6.103782,42.498571,46.945,20.026716
76,NeuralDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,66.685,64.28,18.654363,4.465,2.655,4.215186,55.799286,56.655,22.563821,6.420714,5.675,2.797266,37.78,38.57,20.940698
77,NeuralDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,67.951429,65.58,17.89632,3.837143,2.44,3.712375,57.99,58.685,21.644747,6.123571,5.43,2.936813,35.885714,36.89,19.813979
78,NeuralDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,69.654286,71.635,17.209813,5.935,3.06,6.267018,55.799286,56.655,22.563821,7.921429,5.13,6.06345,36.281429,35.08,19.2676
79,NeuralDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,70.671429,72.3,16.590593,5.2,2.965,5.417804,57.913571,58.59,21.746796,7.555714,5.03,5.7326,34.53,34.83,18.430369
80,NeuralDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,63.636429,65.225,23.046985,9.86,5.34,9.793746,46.465,37.385,28.230944,7.311429,6.3,3.889785,46.223571,53.45,27.035532
81,NeuralDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,65.227857,65.78,21.654954,8.672143,4.73,9.134157,49.695714,42.22,26.508818,6.859286,5.735,3.777405,43.445,49.765,25.137687
82,NeuralDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,70.891429,72.93,17.666262,13.362143,11.115,10.902133,46.465,37.385,28.230944,11.065,9.275,7.68225,42.47,51.04,23.462974
83,NeuralDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,overlap,71.605,72.23,16.496067,11.817143,8.89,9.790823,49.542857,41.71,26.533077,10.244286,8.35,7.23598,40.212857,48.475,21.986514
84,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,63.317143,59.365,17.787167,9.310714,8.99,5.7393,44.573571,37.39,22.733716,9.433571,8.165,5.197802,45.994286,52.95,21.492911
85,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,overlap,64.605,59.52,16.455739,8.26,8.165,5.500228,47.238571,38.935,21.725446,9.105,8.34,5.062292,43.655,51.885,20.048762
86,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,titanet_large,no_overlap,66.538571,63.295,15.038458,10.066429,11.18,6.109517,44.573571,37.39,22.733716,11.897857,12.17,7.461589,43.527857,50.505,18.787523
87,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,titanet_large,overlap,67.458571,63.585,14.12144,8.966429,9.27,5.877519,47.175,38.435,21.807137,11.316429,12.41,6.893403,41.508571,49.38,17.846675
88,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,70.227143,73.46,19.080987,5.251429,3.085,5.090578,55.799286,56.655,22.563821,9.176429,8.905,5.404683,35.024286,31.42,21.205467
89,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,71.654286,73.965,17.442489,4.741429,2.745,4.920075,58.077143,58.705,21.451714,8.836429,8.715,5.219451,33.087857,30.58,19.846037
90,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,71.325,71.835,15.631989,5.632143,3.96,5.013459,55.799286,56.655,22.563821,9.895714,9.74,5.325451,34.307857,33.18,18.993041
91,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,72.543571,73.045,14.669131,5.010714,3.78,4.609007,58.036429,58.9,21.633127,9.494286,9.73,5.13719,32.469286,31.165,17.983177
92,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,68.712857,68.385,18.85087,11.499286,8.485,8.936006,46.465,37.385,28.230944,10.746429,6.94,8.181554,42.787857,51.965,23.771233
93,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,70.129286,69.625,17.244181,10.281429,7.265,8.491629,49.7,41.58,26.425716,10.15,6.53,7.882841,40.151429,49.855,21.996111
94,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,71.135714,67.39,16.985783,13.703571,13.515,10.786389,46.465,37.385,28.230944,10.967143,10.84,6.47402,42.567857,47.075,22.955134
95,NeuralDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,overlap,72.067857,67.98,15.820381,12.193571,11.35,9.986591,49.425714,40.785,26.625186,10.448571,10.46,6.345902,40.126429,42.885,21.481649
